Name,Address1,Address2,Address3,City,County,Country,Postcode,Email,Website,Phone,Y,X,Twitter,Facebook,Facebook2,Type
DCvapours,82 Bank Street,,,Maidstone,Kent,,ME14 1SD,dcvapours@gmail.com,http://dcvapours.wordpress.com/,0759 399 4164,51.273212,0.521951,,,,
The Vapour Trail - Brighton,26 Elm Grove,,,Brighton,East Sussex,,BN2 3DD,brighton@thevapourtrail.co.uk,http://thevapourtrail.co.uk/#,01273 640406,50.831638,-0.12679,,https://www.facebook.com/VapourTrailBrighton,,
Vaporium,133 Rochdale Road,,,Bury,Greater Manchester,,BL9 7BA ,stephen@wintersgill.plus.com,,0161 761 6225,53.593079,-2.285206,,https://www.facebook.com/VaporiumAdmin,,
Totally Wicked @ Shoesmiths,65 Commercial Street,,,Halifax,West Yorkshire,,HX1 1BE,info@wickedsaf.com,,01422 352 315,53.721218,-1.86136,,https://www.facebook.com/shoesmiths/timeline?filter=3,,
Craig & Hanna's Wicked E-Cigs,5 Windsor Road,,,Douglas,Isle of Man,,IM3 1LD,han_lmc@hotmail.com,http://ecigsisleofman.webs.com/,01624 622014,54.172539,-4.446594,,,,
The Vapour Stop - Preston,435 Blackpool Road,,,Preston,Lancashire,,PR2 2DU,thevapourstop@hotmail.co.uk,, 01772 739061,53.770897,-2.727503,,https://www.facebook.com/pages/The-Vapour-Stop/326081490795260,,
Southampton Electronic Cigarette Supplies,108 Manor Farm Road,,Bitterne ,Southampton,Hampshire,,SO18 1NT,enquiry@southamptonecigs.co.uk,http://southamptonecigs.co.uk/,07703 357298,50.928391,-1.377345,,,,
Vapour Fresh,Unit 35 Queens Court Shopping Centre,,Sandgate,Ayr,Ayrshire,,KA7 1LE,info@vapourfresh.co.uk,http://www.vapourfresh.co.uk/default.html,0774 288 2754,55.467644,-4.615305,,,,
Puff in Peace - Wolves ,49A Chapel Ash,,,Wolverhampton,West Midlands,,WV3 0UF,puffinpeace@yahoo.co.uk,http://puffinpeace.com/,01902 256362,52.585407,-2.140755,https://twitter.com/PuffinPeace,https://www.facebook.com/pages/Puff-in-Peace/388568461182041,,
Choice Select - Leeds,Unit 493 Kirkgate Market,,,Leeds,West Yorkshire,,LS2 7HY,john@smokerssecret.com,http://www.smokerssecret.com/shop/,0758 096 9382,53.79763,-1.538637,,https://www.facebook.com/ChoiceSelectLeeds,,
Anwarsons - Totally wicked ,41 Bethel Street,,Brighouse,Huddersfield,West Yorkshire,,HD6 1JR,Yasinice25@yahoo.com,,01484 717 622,53.701031,-1.78103,https://twitter.com/drvape999,,,
Chester Vaping,Chester Market,The Forum Shopping Centre,Princess Street,Chester,Cheshire,,CH1 2HH,cyclops202@gmail.com,,07754 111 679 ,53.191437,-2.893974,,,,
Puff in Peace - Telford ,3 Market Street,,Wellington,Telford,Shropshire,,TF1 1DT,puffinpeace@yahoo.co.uk,http://puffinpeace.com/,01952 240149,52.701031,-2.519084,https://twitter.com/PuffinPeace,https://www.facebook.com/pages/Puff-in-Peace/388568461182041,,
Cigby's,Miller Street,,Aston,Birmingham,West Midlands,,B6 4NF,julie@cigbys.co.uk,http://www.cigbys.co.uk/,0121 333 3705,52.49332,-1.892713,,,,
Smokers World Blackburn,10 Higher Church Street,,,Blackburn,Lancashire,,BB2 1JG,info@tobaccospecialists.co.uk,http://www.tobaccospecialists.co.uk/electronic-cigs-c-38,01254 580987,53.747593,-2.483835,https://twitter.com/Tobaccoshop_UK,https://www.facebook.com/pages/Tobacco-Specialists/134042564604,,
Choice Select - York,6 Coppergate,,,York,North Yorkshire,,YO1 9NR,john@smokerssecret.com,http://www.smokerssecret.com/shop/,01904 656 156,53.957645,-1.081348,,,,
VapeMania,5 Evans Close,,,Daventry,Northamptonshire,,NN11 4LN,,http://www.electroniccigaretteonlineshop.com/,,,,https://twitter.com/vapemania,,,Online
Electronic Cigarettes UK,5-7 Market Avenue,,,Ashton-under-Lyne,Greater Manchester,,OL6 6AL,sales@stockport-e-cig-company.co.uk,http://www.stockportecigcompany.com/,0161 943 0371,,,,,,
The Vape Shop - Bournemouth,4-6 Roumelia Lane,,Boscombe,Bournemouth,Dorset,,BH5 1EU,info@UKeCigarettes.co.uk,http://www.ukecigarettes.co.uk/,01202 461 550,,,,,,
A-T Electronic Cigs,Sefton Road,,Walton-le-dale,Preston,Lancashire,,PR5 4GD ,at-ecigs@virginmedia.com,http://www.at-ecigs.co.uk/,07802 985883,,,https://twitter.com/tomd1912,https://www.facebook.com/pages/A-T-Electronic-Cigs/515212638531111,,Online
Nicovape Birmingham,Rubery Indoor Markets,,Rubery,Birmingham,West Midlands,,B45 9JA,nicovape@hotmail.com,http://birminghamelectroniccigarette.webs.com/,07455 229215,,,,https://www.facebook.com/pages/Nicovape/430628683641196,,
Total E Liquid,141 Beech Road,,Armthorpe,Doncaster,South Yorkshire,,DN3 2EF,,http://www.totaleliquid.co.uk/store/,07982 423537,,,https://twitter.com/Total_E_Liquid,https://www.facebook.com/TotalEliquidcouk,,Online
Safercigs,Unit 4 Hawthorn Farm Business Park,,Winterborne Stickland,Blandford,Dorset,,DT11 0NB,sales@safercigs.co.uk,http://www.safercigs.co.uk/storepage705280.aspx,01258 880 357,,,,https://www.facebook.com/pages/Safercigs/230109560353471,,
Fumescape,Bowlers Exhibition Centre,Longbridge Road,Trafford Park,Manchester,Greater Manchester,,M17 1SN,fumescape@hotmail.co.uk,http://www.fumescape.com/,,,,https://twitter.com/FUMESCAPE,https://www.facebook.com/Fumescape,,
The Electronic Cigarette Company,Office Suite 3,Brook Mill Complex,Branch Road,Lower Darwen,Lancashire,,BB3 0PR,info@theelectroniccigarette.co.uk,http://www.theelectroniccigarette.co.uk/,0845 4753244,,,,,,Online
Crystal Clear Vapours,"Unit 130, Warrington Retail Market", Academy Way,,Warrington,Cheshire,,WA1 2EN,,http://crystalclearvapours.com/,01925 245681,,,,,,
Shake N Vape,90 Buttermarket st,,,Warrington,Cheshire,,WA1 2NZ,shake-n-vape@live.co.uk,http://www.shake-n-vape.co.uk/,7889574043,,,https://twitter.com/shake_vape,https://www.facebook.com/shake.nvape,,
Free2Light,24 Coronation Avenue,,Sandiacre,Nottingham,Nottinghamshire,,NG10 5ER,sales@free2light.com,http://www.free2light.com/,1159541312,,,https://twitter.com/free2lightecigs,https://www.facebook.com/Free2lightElectronicCigarettes,,Online
Rechargeable-smoke,46 Studholme Avenue,,Penwortham,Preston,Lancashire,,PR1 9PA,rechargeablesmoke@gmail.com,http://therechargeable-smoke.co.uk/,01772 300284,,,,https://www.facebook.com/kelly.mattison.56,,Online
Hazel Grove E-Cigs,309 London Road,,Hazel Grove,Stockport,Greater Manchester,,SK7 4PS,hazelgroveecigs@live.co.uk,http://www.stockport-e-cig-company.co.uk/,0161 482 4462,,,,https://www.facebook.com/pages/Hazel-Grove-E-Cigs/510010069059962?ref=hl,,
iBreathe ,Unit 3 Edelle Business Park,Quebec Street,,Oldham,Greater Manchester,,OL9 6QJ,info@i-breathe.co.uk,http://www.i-breathe.co.uk/,0161 621 0925,,,https://twitter.com/iBreatheLimited,https://www.facebook.com/iBreatheLimited,,
TABlites,19 Swan Street,,,Manchester,Greater Manchester,,M4 5JJ,business@tablites.com,http://www.tablites.com/,0161 832 4311,,,https://twitter.com/tablites,,,
Smarter Smokes,78 Earlswood Road,,,Belfast, County Antrim,,BT4 3DZ,info@smartersmokes.com,http://www.smartersmokes.com/,07969 475305,,,,,,Online
Smart Smoker,67 Bridge St Rows,,,Chester,Cheshire,,CH1 1NW,store@smartsmoker.co.uk,http://www.smartsmoker.co.uk/,0800 7569475,,,,,,
Electro Ciggie,134 Orchard Road,,Erdington,Birmingham,West Midlands,,B24 9JF,info@electro-ciggie.co.uk,http://www.electro-ciggie.co.uk/,07722 938 840,,,,,,Online
Thee E Liquid,Plantation Road,,,Lisburn,County Antrim,,BT27 5PH,admin@theeeliquid.com,http://www.theeeliquid.com/,,,,,,,Online
Vapology,6 St Mary's Road,,,Lutterworth,Leicestershire,,LE17 4PS,info@vapology.co.uk,http://www.vapology.co.uk/,01455 552375,,,,,,Online
Vaper Stall Ltd,25 Church Road,Blurton,,Stoke on Trent,Staffordshire,,ST3 3AQ ,vaperstall@gmail.com,http://www.vaperstall.com/,07507 477107,,,,https://www.facebook.com/xBATHYx,,Online
Emazing Electronic Cigarettes,112 Drope Road,St George's,,Cardiff,South Wales,,CF5 6EP,sales@emazing-ecigs.co.uk,http://www.emazing-ecigs.co.uk/,029 20593543,,,,,,Online
Electronic Eliquid UK,18 Thornley Avenue,Mayfield Dale,,Cramlington,Northumberland,,NE23 2BT ,eliquid@live.co.uk,http://www.electronic-eliquid.co.uk/,7450977902,,,https://twitter.com/Electro_Eliquid,https://www.facebook.com/Electronic.Eliquid.UK,,
Smokers Avenue,"11 Bolton Street,",,Bordesley Green,Birmingham,West Midlands,,B9 4HH,sales@smokersavenue.co.uk ,http://www.smokersavenue.co.uk/,8701001063,,,,,,
Wisekick,196 High Road,,Wood Green,Haringey,London,,N22 8HH,bob@wisekick.com,http://www.wisekick.com/,,,,https://twitter.com/wisekick,https://www.facebook.com/Wisekick,,
Flavour Vapour - Plymouth,Unit 120,Plymouth City Market,,Plymouth,Devon,,PL1 1PS,flavourvapour@gmail.com,http://www.flavourvapour.co.uk/,7512655413,,,https://twitter.com/FlavourVapour,https://www.facebook.com/FlavourVapour.co.uk,,
Flavour Vapour - Torquay,Unit 4,Torquay Market,,Torquay,Devon,,TQ1 3AE,flavourvapour@gmail.com,http://www.flavourvapour.co.uk/,7523303636,,,https://twitter.com/FlavourVapour,https://www.facebook.com/FlavourVapour.co.uk,,
Flavour Vapour - Bolton,304 Manchester Road,,,Bolton,Greater Manchester,,BL3 2QS,flavourvapour@gmail.com,http://www.flavourvapour.co.uk/,01204 398771,,,https://twitter.com/FlavourVapour,https://www.facebook.com/FlavourVapour.co.uk,,
Flavour Vapour - Dundee,61 High Street,,Lochee,Dundee,Dundee,,DD2 3AT,flavourvapour@gmail.com,http://www.flavourvapour.co.uk/,7876661556,,,https://twitter.com/FlavourVapour,https://www.facebook.com/FlavourVapour.co.uk,,
iCig Store,Addington court,,Horseguards,Exeter,Devon,,EX4 4UY,sales@icigstore.com,http://www.icigstore.com/,0845 459 2008,,,,https://www.facebook.com/icigstore,,Online
Easy2smoke,Unit 261B, The Wenta Business Centre,Colne Way,Watford,Hertfordshire,,WD24 7ND,sales@easy2smoke.com,http://www.easy2smoke.co.uk/index.asp,0845 689 0124﻿,,,,https://www.facebook.com/pages/Easy2smoke/172824306140236,,Online
Quit Easy,62 Church Street,,Westhoughton,Bolton,Greater Manchester,,BL5 3RS,sales@quit-easy.co.uk,http://www.quit-easy.co.uk/epages/es146905.sf/en_GB/?ObjectPath=/Shops/es146905/Categories,01942 797686,,,,https://www.facebook.com/QuitEasy,,
Saferciggie,30 Coltsfoot Road,,,Rushden,Northamptonshire,,NN10 0GE,simon@saferciggie.co.uk,http://www.saferciggie.co.uk/,01933 353981,,,,,,
Moorevape,688 Obelisk Rise,,Kingsthorpe,Northampton,Northamptonshire,,NN2 8TG,moorevape@yahoo.co.uk ,http://www.moorevape.co.uk/,1604514038,,,,,,Online
I Love Vapour,35 Tatnam Rd,,,Poole,Dorset,,BH15 2DW,info@ilovevapour.com,https://www.ilovevapour.com/,0845 017 0800,,,https://twitter.com/ILoveVapour,https://www.facebook.com/ILoveVapour,,Online
Ace Vapers,King Edward Road,,,Northampton,Northamptonshire,,NN1 5LY,help@acevapers.com,http://www.acevapers.com/,7540430681,,,https://twitter.com/acevapers,https://www.facebook.com/Acevapers?fref=ts,,Online
Liberro,59A High Street,,,Buntingford,Hertfordshire,,SG9 9AD,admin@liberro.co.uk,http://www.liberro.co.uk/,0800 111 4753,,,,,,
Vape Kandy,81 Birmingham Road,,,Sutton Coldfield,West Midlands,,B72 1LT,info@vapekandy.com,http://www.vapekandy.com/en/,07840 345446,,,,,,Online
The E Cigarette Company,The Poplars,63B Hardy Barn,Shipley,Derby,Derbyshire,,DE75 7LY,customerservices@theecigarettecompany.com,http://www.theecigarettecompany.com/,,,,,,,Online
Supervape,33 Granville Place,,,Finchley,London,,N12 0AX,dsher@shertech.co.uk,http://supervape.co.uk/,2083431444,,,,,,Online
Simply E-Cig,55 Revidge Road,,,Blackburn ,Lancashire,,BB2 6JH,,http://www.simplyecig.co.uk/,01254 846 009,,,https://twitter.com/simplyecig,https://www.facebook.com/SimplyECig,,Online
Cool Breeze,34 West Avenue,,Boston Spa,Wetherby,West Yorkshire,,LS23 6EJ,coolbreeze4ecigs@gmail.com,http://www.cool-breeze-e-cigs.com/,01937 918624,,,https://twitter.com/CoolBreezeEcigs,https://www.facebook.com/pages/Cool-Breeze-E-Cigs/480188212025665?ref=hl,,Online
Vape-N-Throw,73 Wimborne Road,,,Luton,Bedfordshire,,LU1 1PD,sales@vape-n-throw.co.uk,http://www.vape-n-throw.co.uk/,07880 771991,,,https://twitter.com/Vape_N_throW,https://www.facebook.com/Vape.N.Throw,,Online
EcigUK St Helens,32 George Street,,,St Helens,Merseyside,,WA10 1BU,eciguksthelens@yahoo.co.uk,http://ecigsthelens.vpweb.co.uk/?prefix=www,07773 007731,,,www.twitter.com/Eciguksthelens,https://www.facebook.com/eciguk.sthelens,,
Mirage Cig - Sheffield,134 Archer Road,,,Sheffield,South Yorkshire,,S8 0JZ,info@miragecigarettes.co.uk,http://www.miragecigarettes.co.uk/shop/,0845 475 0148,,,,https://www.facebook.com/MirageElectronicCigarettes?ref=hl,,
Mirage Cig - Manor Top,4 Ridgeway Road,,Manor Top,Sheffield,South Yorkshire,,S12 2SS,info@miragecigarettes.co.uk,http://www.miragecigarettes.co.uk/shop/,0845 475 0148,,,,https://www.facebook.com/MirageElectronicCigarettes?ref=hl,,
Mirage Cig - Hillsbrough,80 Leppings Lane,,Hillsbrough,Sheffield,South Yorkshire,,S6 1ST,info@miragecigarettes.co.uk,http://www.miragecigarettes.co.uk/shop/,0845 475 0148,,,,https://www.facebook.com/MirageElectronicCigarettes?ref=hl,,
The E-Cigarette,Essex House,High Street,,Dunmow,Essex,,CM6 1AE, Info@TheE-Cigarette.com,http://www.thee-cigarette.com/,07000 876555,,,,https://www.facebook.com/pages/TheE-Cigarettecom/119958734747658,,Online
Go4Smoke,9 Rainhill Road,,,Barnoldswick,Lancashire,,BB18 5AF,sales@goforsmoke.com,http://www.goforsmoke.com/,0800 1814409,,,,,,
UK Vapes,10 Lord Street,,,Wrexham,Clwyd,,LL11 1LG,info@ukvapes.com,http://www.ukvapes.com/,01978 353647,,,,https://www.facebook.com/UKVAPEScom,,
Volcano E-Cigs,PO Box 570,,,New Malden,Kent,,KT3 9GT,cs@volcano-ecigs.co.uk,http://www.volcano-ecigs.co.uk/,020 3475 5755,,,https://twitter.com/volcanoeu,https://www.facebook.com/volcanoecigseu,,Online
UK eCig Store,20-24 Broadwick Street,,,Westminster,London,,W1F 8HT,support@ukecig.com,http://www.ukecigstore.com/,020 3475 4885,,,https://twitter.com/UKECIGSTORE,https://www.facebook.com/UkEcigStore,,Online
